,Date,Equipment_Type,Daily_Rate,Num_Days,Branch,Damaged,Customer_Type
0,2015-01-01,vortexfan,50,10,Toronto,[False],['Contractor']
1,2015-01-01,66padroller,700,2,Bolton,[False],['Contractor']
2,2015-01-01,10ftscissorlift,200,5,Brossard,[False],['Contractor']
3,2015-01-01,10ftscissorlift,200,4,Lethbridge,[False],['Contractor']
4,2015-01-01,5tonexcavator,1300,1,Brossard,[False],['Contractor']
5,2015-01-01,lawnroller,20,2,Saint John,[False],['Individual']
6,2015-01-01,3000wgenerator,200,4,Vancouver,[False],['Contractor']
7,2015-01-01,pedestalfan,30,3,Medicine Hat,[False],['Contractor']
8,2015-01-01,5000lbforklift,450,49,Kitchener,[False],['Individual']
9,2015-01-01,grinder,30,32,Maple Ridge,[False],['Contractor']
10,2015-01-01,5tonexcavator,1300,5,Medicine Hat,[False],['Contractor']
11,2015-01-01,impactwrench,40,5,St-Laurent,[False],['Contractor']
12,2015-01-01,beltsander,30,23,Taber,[False],['Contractor']
13,2015-01-01,10fteasyfence,25,3,Lethbridge,[False],['Contractor']
14,2015-01-01,16ftscissorlift,300,38,Edmonton,[False],['Individual']
15,2015-01-01,34ftboomlift,400,3,Lethbridge,[False],['Contractor']
16,2015-01-01,recipsaw,30,10,Saint John,[False],['Contractor']
17,2015-01-01,impactwrench,40,33,Saint John,[False],['Individual']
18,2015-01-02,trenchroller,400,26,Ottawa Downtown,[True],['Contractor']
19,2015-01-02,trenchroller,400,22,Anjou,[False],['Contractor']
20,2015-01-02,circularsaw,30,2,Brossard,[False],['Contractor']
21,2015-01-02,hardwoodnailer,50,20,Leduc,[False],['Individual']
22,2015-01-02,chainsaw,50,5,Surrey,[False],['Contractor']
23,2015-01-02,100kwgenerator,900,3,Oshawa,[False],['Contractor']
24,2015-01-02,2tonexcavator,700,5,Bolton,[False],['Contractor']
25,2015-01-02,17lbairbreaker,60,5,Dartmouth,[False],['Contractor']
26,2015-01-02,84smoothroller,850,39,Calgary,[False],['Contractor']
27,2015-01-02,pedestalfan,30,25,Bracebridge,[True],['Individual']
28,2015-01-02,100kwgenerator,900,4,Barrie,[False],['Individual']
29,2015-01-02,circularsaw,30,1,Dartmouth,[False],['Individual']
30,2015-01-02,12ftscissorlift,250,45,Ottawa Downtown,[False],['Contractor']
31,2015-01-02,45ftboomlift,450,2,Oshawa,[False],['Contractor']
32,2015-01-02,10kwgenerator,500,8,Kitchener,[False],['Contractor']
33,2015-01-02,roofnailer,40,34,Mississauga,[False],['Contractor']
34,2015-01-02,17lbairbreaker,60,15,Medicine Hat,[False],['Contractor']
35,2015-01-02,hardwoodnailer,50,1,Ottawa Downtown,[False],['Contractor']
36,2015-01-02,platecompactor,200,45,Anjou,[False],['Contractor']
37,2015-01-02,platecompactor,200,4,St-Laurent,[False],['Contractor']
38,2015-01-02,10ftcrowdfence,25,9,Leduc,[False],['Contractor']
39,2015-01-03,grinder,30,48,Medicine Hat,[False],['Contractor']
40,2015-01-03,40fttelehandler,750,48,Oshawa,[False],['Contractor']
41,2015-01-03,messageboard,200,13,Toronto,[False],['Contractor']
42,2015-01-03,10fteasyfence,25,23,St-Laurent,[False],['Individual']
43,2015-01-03,finishnailer,40,28,Bolton,[False],['Individual']
44,2015-01-03,draincleaner,15,1,Medicine Hat,[False],['Individual']
45,2015-01-03,vortexfan,50,6,Oshawa,[True],['Contractor']
